Dates,PX_LAST
2020-01-14,102.71
2020-01-15,103.01
2020-01-16,103.36
2020-01-17,103.8
2020-01-20,103.71
2020-01-21,104.34
2020-01-22,104.43
2020-01-23,104.25
2020-01-24,104.02
2020-01-27,103.4
2020-01-28,103.72
2020-01-29,103.49
2020-01-30,103.37
2020-01-31,100.93
2020-02-03,100.53
2020-02-04,101.29
2020-02-05,101.83
2020-02-06,102.47
2020-02-07,102.49
2020-02-10,102.15
2020-02-11,102.16
2020-02-12,102.06
2020-02-13,101.75
2020-02-14,101.81
2020-02-18,101.3
2020-02-19,101.09
2020-02-20,101.25
2020-02-21,100.92
2020-02-24,99.47
2020-02-25,97.25
2020-02-26,95.7
2020-02-27,92.53
2020-02-28,91.21
2020-03-02,92.1
2020-03-03,89.98
2020-03-04,90.93
2020-03-05,88.01
2020-03-06,84.37
2020-03-09,73.16
2020-03-10,75.97
2020-03-11,72.38
2020-03-12,60.5
2020-03-13,70.5
2020-03-16,62.01
2020-03-17,61.41
2020-03-18,58.45
2020-03-19,60.67
2020-03-20,62.26
2020-03-23,56.24
2020-03-24,64.1
2020-03-25,69.67
2020-03-26,69.98
2020-03-27,66.66
2020-03-30,67.81
2020-03-31,71.06
2020-04-01,67.13
2020-04-02,67.96
2020-04-03,66.95
2020-04-06,70.7
2020-04-07,72.03
2020-04-08,74.89
2020-04-09,75.1
2020-04-13,73.44
2020-04-14,72.99
2020-04-15,69.34
2020-04-16,67.65
2020-04-17,69.99
2020-04-20,69.22
2020-04-21,66.43
2020-04-22,67.33
2020-04-23,66.89
2020-04-24,67.52
2020-04-27,69.81
2020-04-28,71.26
2020-04-29,74.84
2020-04-30,70.77
2020-05-01,68.55
2020-05-04,68.56
2020-05-05,67.75
2020-05-06,67.98
2020-05-07,67.1
2020-05-08,68.34
2020-05-11,68.71
2020-05-12,67.3
2020-05-13,63.85
2020-05-14,63.13
2020-05-15,62.37
2020-05-19,65.22
2020-05-20,66.45
2020-05-21,65.1
2020-05-22,64.14
2020-05-25,65.25
2020-05-26,70.19
2020-05-27,70.79
2020-05-28,69.39
2020-05-29,67.92
2020-06-01,69.09
2020-06-02,70.52
2020-06-03,73.93
2020-06-04,74.15
2020-06-05,76.07
2020-06-08,77.95
2020-06-09,77.29
2020-06-10,75.71
2020-06-11,72.5
2020-06-12,74.45
2020-06-15,74.68
2020-06-16,76.77
2020-06-17,76.14
2020-06-18,76.55
2020-06-19,75.99
2020-06-22,75.2
2020-06-23,75.93
2020-06-24,73.95
2020-06-25,73.75
2020-06-26,70.74
2020-06-29,71.46
2020-06-30,72.26
2020-07-02,72.11
2020-07-03,72.25
2020-07-06,73.7
2020-07-07,71.97
2020-07-08,72.02
2020-07-09,70.88
2020-07-10,72.82
2020-07-13,73.23
2020-07-14,73.85
2020-07-15,75.56
2020-07-16,75.5
2020-07-17,74.6
2020-07-20,74.38
2020-07-21,75.08
2020-07-22,74.8
2020-07-23,74.24
2020-07-24,73.73
2020-07-27,74.17
2020-07-28,73.96
2020-07-29,75.07
2020-07-30,75.43
2020-07-31,73.28
2020-08-04,73.0
2020-08-05,74.41
2020-08-06,74.3
2020-08-07,75.25
2020-08-10,76.6
2020-08-11,77.58
