Dates,PX_LAST
2020-01-14,72.11
2020-01-15,72.29
2020-01-16,72.54
2020-01-17,72.48
2020-01-20,72.65
2020-01-21,72.63
2020-01-22,73.35
2020-01-23,73.45
2020-01-24,73.34
2020-01-27,73.27
2020-01-28,73.11
2020-01-29,72.93
2020-01-30,72.6
2020-01-31,72.28
2020-02-03,72.28
2020-02-04,72.98
2020-02-05,73.3
2020-02-06,74.04
2020-02-07,74.35
2020-02-10,74.35
2020-02-11,74.28
2020-02-12,74.64
2020-02-13,74.69
2020-02-14,74.73
2020-02-18,74.62
2020-02-19,74.63
2020-02-20,74.63
2020-02-21,74.24
2020-02-24,73.15
2020-02-25,72.48
2020-02-26,72.5
2020-02-27,71.71
2020-02-28,70.22
2020-03-02,70.57
2020-03-03,69.64
2020-03-04,70.73
2020-03-05,68.76
2020-03-06,67.09
2020-03-09,59.39
2020-03-10,60.3
2020-03-11,58.48
2020-03-12,51.1
2020-03-13,59.19
2020-03-16,52.66
2020-03-17,54.02
2020-03-18,49.95
2020-03-19,50.68
2020-03-20,53.07
2020-03-23,46.72
2020-03-24,52.26
2020-03-25,57.25
2020-03-26,58.07
2020-03-27,54.275
2020-03-30,54.81
2020-03-31,57.3
2020-04-01,54.38
2020-04-02,55.13
2020-04-03,53.535
2020-04-06,55.29
2020-04-07,55.51
2020-04-08,56.4
2020-04-09,57.4
2020-04-13,55.69
2020-04-14,55.53
2020-04-15,53.66
2020-04-16,51.95
2020-04-17,54.45
2020-04-20,54.76
2020-04-21,52.57
2020-04-22,53.1
2020-04-23,52.78
2020-04-24,53.35
2020-04-27,54.5
2020-04-28,55.43
2020-04-29,57.85
2020-04-30,55.8
2020-05-01,53.9
2020-05-04,53.59
2020-05-05,53.17
2020-05-06,52.95
2020-05-07,52.39
2020-05-08,52.95
2020-05-11,53.41
2020-05-12,52.74
2020-05-13,50.46
2020-05-14,50.55
2020-05-15,49.97
2020-05-19,51.08
2020-05-20,51.62
2020-05-21,51.46
2020-05-22,51.1
2020-05-25,51.99
2020-05-26,55.84
2020-05-27,57.97
2020-05-28,57.35
2020-05-29,55.17
2020-06-01,56.18
2020-06-02,57.2
2020-06-03,58.95
2020-06-04,59.05
2020-06-05,60.54
2020-06-08,60.96
2020-06-09,60.67
2020-06-10,59.93
2020-06-11,57.36
2020-06-12,58.51
2020-06-15,58.19
2020-06-16,58.75
2020-06-17,58.41
2020-06-18,57.9
2020-06-19,57.03
2020-06-22,56.74
2020-06-23,56.78
2020-06-24,55.64
2020-06-25,56.01
2020-06-26,54.44
2020-06-29,55.62
2020-06-30,56.18
2020-07-02,56.46
2020-07-03,57.0
2020-07-06,56.24
2020-07-07,54.95
2020-07-08,54.73
2020-07-09,54.13
2020-07-10,55.54
2020-07-13,56.19
2020-07-14,56.07
2020-07-15,56.57
2020-07-16,57.05
2020-07-17,56.58
2020-07-20,56.06
2020-07-21,56.39
2020-07-22,56.31
2020-07-23,55.98
2020-07-24,55.55
2020-07-27,55.4
2020-07-28,55.04
