Dates,PX_LAST
2020-01-14,73.41
2020-01-15,73.26
2020-01-16,73.31
2020-01-17,73.52
2020-01-20,73.42
2020-01-21,73.5
2020-01-22,73.4
2020-01-23,73.71
2020-01-24,73.79
2020-01-27,73.95
2020-01-28,73.84
2020-01-29,73.92
2020-01-30,74.22
2020-01-31,73.43
2020-02-03,73.25
2020-02-04,73.16
2020-02-05,73.25
2020-02-06,73.75
2020-02-07,73.64
2020-02-10,73.5
2020-02-11,73.67
2020-02-12,73.8
2020-02-13,73.72
2020-02-14,73.76
2020-02-18,73.79
2020-02-19,74.48
2020-02-20,74.69
2020-02-21,74.79
2020-02-24,74.18
2020-02-25,73.43
2020-02-26,73.09
2020-02-27,72.4
2020-02-28,69.77
2020-03-02,69.93
2020-03-03,68.47
2020-03-04,68.92
2020-03-05,66.29
2020-03-06,62.3
2020-03-09,54.86
2020-03-10,55.6
2020-03-11,53.77
2020-03-12,46.0
2020-03-13,54.96
2020-03-16,45.75
2020-03-17,46.11
2020-03-18,44.0
2020-03-19,43.2
2020-03-20,42.96
2020-03-23,39.01
2020-03-24,46.0
2020-03-25,51.44
2020-03-26,54.04
2020-03-27,50.07
2020-03-30,52.03
2020-03-31,54.39
2020-04-01,52.15
2020-04-02,51.58
2020-04-03,50.82
2020-04-06,53.3
2020-04-07,53.53
2020-04-08,56.04
2020-04-09,56.94
2020-04-13,55.78
2020-04-14,54.64
2020-04-15,52.49
2020-04-16,50.36
2020-04-17,54.36
2020-04-20,53.84
2020-04-21,51.44
2020-04-22,51.83
2020-04-23,52.15
2020-04-24,52.43
2020-04-27,54.9
2020-04-28,56.38
2020-04-29,59.02
2020-04-30,56.14
2020-05-01,55.05
2020-05-04,55.46
2020-05-05,55.7
2020-05-06,55.5
2020-05-07,54.6
2020-05-08,55.5
2020-05-11,56.23
2020-05-12,55.09
2020-05-13,51.99
2020-05-14,51.82
2020-05-15,51.38
2020-05-19,53.47
2020-05-20,54.24
2020-05-21,53.25
2020-05-22,52.42
2020-05-25,54.02
2020-05-26,57.08
2020-05-27,61.15
2020-05-28,61.79
2020-05-29,59.96
2020-06-01,61.27
2020-06-02,63.95
2020-06-03,65.35
2020-06-04,64.53
2020-06-05,65.52
2020-06-08,65.54
2020-06-09,64.14
2020-06-10,62.89
2020-06-11,60.07
2020-06-12,60.99
2020-06-15,60.71
2020-06-16,62.01
2020-06-17,61.9
2020-06-18,61.55
2020-06-19,61.97
2020-06-22,62.05
2020-06-23,62.81
2020-06-24,61.98
2020-06-25,62.05
2020-06-26,60.14
2020-06-29,61.0
2020-06-30,61.52
2020-07-02,61.58
2020-07-03,61.72
2020-07-06,62.01
2020-07-07,60.66
2020-07-08,60.72
2020-07-09,60.08
2020-07-10,61.25
2020-07-13,61.34
2020-07-14,61.93
2020-07-15,63.2
2020-07-16,62.85
2020-07-17,63.0
2020-07-20,63.31
2020-07-21,63.08
2020-07-22,62.93
2020-07-23,62.53
2020-07-24,62.09
2020-07-27,62.87
2020-07-28,62.72
2020-07-29,63.48
2020-07-30,63.9
2020-07-31,63.24
2020-08-04,63.83
2020-08-05,63.87
2020-08-06,63.89
2020-08-07,64.91
2020-08-10,65.51
2020-08-11,65.58
2020-08-12,65.81
2020-08-13,65.9
2020-08-14,66.41
2020-08-17,66.41
2020-08-18,66.27
2020-08-19,66.64
2020-08-20,66.75
2020-08-21,67.01
2020-08-24,67.63
2020-08-25,68.05
2020-08-26,71.0
2020-08-27,71.4
2020-08-28,71.5
2020-08-31,71.7
2020-09-01,71.79
2020-09-02,72.65
2020-09-03,72.59
2020-09-04,72.58
2020-09-08,71.85
2020-09-09,72.57
2020-09-10,72.33
2020-09-11,72.85
2020-09-14,72.8
2020-09-15,72.0
2020-09-16,71.34
2020-09-17,70.74
2020-09-18,69.57
2020-09-21,68.31
2020-09-22,67.73
2020-09-23,66.07
2020-09-24,66.26
2020-09-25,65.71
2020-09-28,67.21
2020-09-29,66.54
2020-09-30,66.14
2020-10-01,66.22
2020-10-02,66.78
2020-10-05,68.01
2020-10-06,67.0
2020-10-07,67.52
2020-10-08,67.97
2020-10-09,67.76
2020-10-13,66.43
2020-10-14,66.37
2020-10-15,66.65
2020-10-16,66.55
2020-10-19,66.45
2020-10-20,66.18
2020-10-21,66.6
2020-10-22,66.38
2020-10-23,67.03
2020-10-26,65.88
2020-10-27,64.77
2020-10-28,62.99
2020-10-29,63.51
2020-10-30,63.94
2020-11-02,65.54
2020-11-03,66.07
2020-11-04,66.47
2020-11-05,66.75
2020-11-06,67.06
2020-11-09,67.6
2020-11-10,68.5
2020-11-11,69.31
2020-11-12,68.98
2020-11-13,69.18
2020-11-16,69.67
2020-11-17,69.99
2020-11-18,70.94
2020-11-19,70.47
2020-11-20,70.64
2020-11-23,72.09
2020-11-24,73.35
2020-11-25,73.62
2020-11-26,73.69
2020-11-27,73.48
2020-11-30,71.94
2020-12-01,73.43
2020-12-02,72.59
2020-12-03,72.08
2020-12-04,71.84
2020-12-07,71.55
2020-12-08,72.02
2020-12-09,72.75
2020-12-10,72.4
2020-12-11,72.23
2020-12-14,72.39
2020-12-15,72.53
2020-12-16,72.73
2020-12-17,72.11
2020-12-18,71.63
2020-12-21,71.51
2020-12-22,71.64
2020-12-23,71.69
2020-12-24,71.74
2020-12-29,71.57
2020-12-30,71.58
2020-12-31,71.64
2021-01-04,71.59
2021-01-05,71.18
2021-01-06,72.39
2021-01-07,72.59
2021-01-08,73.1
2021-01-11,73.06
2021-01-12,73.71
2021-01-13,73.59
2021-01-14,73.18
2021-01-15,73.22
